2024-06-17 12:01:04.4118 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" sending SETTINGS frame for stream ID 0 with length 18 and flags NONE. 
2024-06-17 12:01:04.4118 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" sending WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 12:01:04.4118 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" received SETTINGS frame for stream ID 0 with length 24 and flags NONE. 
2024-06-17 12:01:04.4118 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" sending SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-17 12:01:04.4118 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" received WINDOW_UPDATE frame for stream ID 0 with length 4 and flags 0x0. 
2024-06-17 12:01:04.4118 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" received HEADERS frame for stream ID 1 with length 393 and flags END_STREAM, END_HEADERS, PRIORITY. 
2024-06-17 12:01:04.4118 | TRACE | Microsoft.AspNetCore.HostFiltering.HostFilteringMiddleware | All hosts are allowed. 
2024-06-17 12:01:04.4259 | TRACE | Microsoft.AspNetCore.Server.Kestrel.Http2 | Connection id "0HN4EIROUDATF" received SETTINGS frame for stream ID 0 with length 0 and flags ACK. 
2024-06-17 12:01:04.5193 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-17 12:01:04.5193 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.ModelBinding.UnsupportedContentTypeFilter. 
2024-06-17 12:01:04.5193 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-17 12:01:04.5193 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: After executing OnActionExecuting on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
2024-06-17 12:01:04.5350 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Executing action method Job_Finder.Controllers.CLRegistrationController.Login (Job_Finder) with arguments (Admin, Admin123) 
2024-06-17 12:01:05.4931 | TRACE | Microsoft.AspNetCore.Mvc.Infrastructure.ControllerActionInvoker | Action Filter: Before executing OnActionExecuted on filter Microsoft.AspNetCore.Mvc.Infrastructure.ModelStateInvalidFilter. 
